0	44	32	32	110	140	163	219	270	196	109	126	58	133	259	237	173	44	182	272	28	91	44	168	75	64	59	86	249	97	233	204
44	0	30	50	128	158	181	237	288	214	127	144	76	151	277	255	191	28	200	290	46	109	62	186	93	82	77	104	267	115	251	222
32	30	0	38	116	146	169	225	276	202	115	132	64	139	265	243	179	30	188	278	34	97	50	174	81	70	65	92	255	103	239	210
32	50	38	0	106	136	159	215	266	192	105	122	54	129	255	233	169	50	178	268	24	87	40	164	71	60	55	82	245	93	229	200
110	128	116	106	0	48	71	127	178	104	29	34	82	41	167	145	81	128	90	180	92	35	82	76	51	56	61	42	157	27	141	112
140	158	146	136	48	0	35	91	142	68	59	40	112	23	131	109	45	158	54	144	122	65	112	40	81	86	91	72	121	57	105	76
163	181	169	159	71	35	0	84	135	61	82	63	135	46	124	102	38	181	47	137	145	88	135	33	104	109	114	95	114	80	98	69
219	237	225	215	127	91	84	0	69	37	138	119	191	102	58	36	64	237	47	71	201	144	191	71	160	165	170	151	48	136	32	31
270	288	276	266	178	142	135	69	0	88	189	170	242	153	25	51	115	288	98	16	252	195	242	122	211	216	221	202	39	187	61	82
196	214	202	192	104	68	61	37	88	0	115	96	168	79	77	55	41	214	24	90	178	121	168	48	137	142	147	128	67	113	51	22
109	127	115	105	29	59	82	138	189	115	0	45	81	52	178	156	92	127	101	191	91	34	81	87	50	55	60	41	168	26	152	123
126	144	132	122	34	40	63	119	170	96	45	0	98	33	159	137	73	144	82	172	108	51	98	68	67	72	77	58	149	43	133	104
58	76	64	54	82	112	135	191	242	168	81	98	0	105	231	209	145	76	154	244	40	63	30	140	47	36	31	58	221	69	205	176
133	151	139	129	41	23	46	102	153	79	52	33	105	0	142	120	56	151	65	155	115	58	105	51	74	79	84	65	132	50	116	87
259	277	265	255	167	131	124	58	25	77	178	159	231	142	0	40	104	277	87	27	241	184	231	111	200	205	210	191	28	176	50	71
237	255	243	233	145	109	102	36	51	55	156	137	209	120	40	0	82	255	65	53	219	162	209	89	178	183	188	169	30	154	28	49
173	191	179	169	81	45	38	64	115	41	92	73	145	56	104	82	0	191	27	117	155	98	145	25	114	119	124	105	94	90	78	49
44	28	30	50	128	158	181	237	288	214	127	144	76	151	277	255	191	0	200	290	46	109	62	186	93	82	77	104	267	115	251	222
182	200	188	178	90	54	47	47	98	24	101	82	154	65	87	65	27	200	0	100	164	107	154	34	123	128	133	114	77	99	61	32
272	290	278	268	180	144	137	71	16	90	191	172	244	155	27	53	117	290	100	0	254	197	244	124	213	218	223	204	41	189	63	84
28	46	34	24	92	122	145	201	252	178	91	108	40	115	241	219	155	46	164	254	0	73	26	150	57	46	41	68	231	79	215	186
91	109	97	87	35	65	88	144	195	121	34	51	63	58	184	162	98	109	107	197	73	0	63	93	32	37	42	23	174	22	158	129
44	62	50	40	82	112	135	191	242	168	81	98	30	105	231	209	145	62	154	244	26	63	0	140	47	36	31	58	221	69	205	176
168	186	174	164	76	40	33	71	122	48	87	68	140	51	111	89	25	186	34	124	150	93	140	0	109	114	119	100	101	85	85	56
75	93	81	71	51	81	104	160	211	137	50	67	47	74	200	178	114	93	123	213	57	32	47	109	0	21	26	27	190	38	174	145
64	82	70	60	56	86	109	165	216	142	55	72	36	79	205	183	119	82	128	218	46	37	36	114	21	0	15	32	195	43	179	150
59	77	65	55	61	91	114	170	221	147	60	77	31	84	210	188	124	77	133	223	41	42	31	119	26	15	0	37	200	48	184	155
86	104	92	82	42	72	95	151	202	128	41	58	58	65	191	169	105	104	114	204	68	23	58	100	27	32	37	0	181	29	165	136
249	267	255	245	157	121	114	48	39	67	168	149	221	132	28	30	94	267	77	41	231	174	221	101	190	195	200	181	0	166	40	61
97	115	103	93	27	57	80	136	187	113	26	43	69	50	176	154	90	115	99	189	79	22	69	85	38	43	48	29	166	0	150	121
233	251	239	229	141	105	98	32	61	51	152	133	205	116	50	28	78	251	61	63	215	158	205	85	174	179	184	165	40	150	0	45
204	222	210	200	112	76	69	31	82	22	123	104	176	87	71	49	49	222	32	84	186	129	176	56	145	150	155	136	61	121	45	0
